idx,cell,label,verify_status,claim,source,notes,para_1,para_2,para_3,para_4,para_5
74,future_known,1,high,"By 2027, AI-generated essays will continue to be detectable by some methods, even if imperfectly.",ongoing arms race; some detection always available,,Some detection methods for AI-generated essays will persist through 2027.,"Through 2027, AI essays will continue to be detectable by some imperfect methods.","By 2027, AI-generated essays will continue to be at least imperfectly detectable.","Through 2027, some methods will still detect AI-generated essays imperfectly.","By 2027, imperfect detection of AI essays will continue to exist."
75,future_unknown,0,high,"By 2035, AI tutors will have replaced human teachers in most US K-12 classrooms.",speculative,,Most US K-12 classrooms will use AI tutors instead of human teachers by 2035.,"By 2035, human teachers will be replaced by AI tutors in the majority of US K-12 schools.",AI tutors will substitute for human teachers across most US K-12 classrooms by 2035.,"Most US K-12 instruction will be delivered by AI tutors, not humans, by 2035.","By 2035, AI will have taken over teaching duties in most American K-12 classrooms."
76,future_unknown,0,high,"By 2040, students taught primarily by AI will outperform peers taught by humans on standardized tests.",speculative,,AI-taught students will beat human-taught students on standardized tests by 2040.,"By 2040, primarily AI-instructed students will score higher on standardized exams than human-taught peers.",Standardized test scores will favor AI-taught students over human-taught ones by 2040.,Students with AI-led instruction will outperform their human-taught counterparts on tests by 2040.,"By 2040, AI instruction will produce higher standardized test outcomes than human instruction."
77,future_unknown,0,high,"By 2035, AI tutors will eliminate the educational achievement gap between high- and low-income US students.",speculative,,AI tutors will close the US income-based educational achievement gap by 2035.,"By 2035, the achievement gap between rich and poor US students will be eliminated by AI tutors.",AI tutoring will erase US income-based achievement disparities by 2035.,"By 2035, AI tutors will end the high-low income achievement gap in US education.",Achievement gaps tied to income will be eliminated by AI tutors in the US by 2035.
78,future_unknown,0,high,"By 2040, the average US student will spend more class time interacting with AI than with human teachers.",speculative,,"By 2040, average US students' class-time AI interaction will exceed time with human teachers.",Average US students will spend more class time with AI than humans by 2040.,"By 2040, US students' class time will be more with AI than human teachers on average.",Class time with AI will exceed class time with human teachers for average US students by 2040.,"By 2040, US students will, on average, spend more class time with AI than humans."
79,future_unknown,0,high,"By 2035, oral examinations will become the dominant assessment format in US universities due to AI cheating concerns.",speculative,,"By 2035, US university assessment will be dominated by oral exams due to AI cheating.",AI cheating will push US universities to make oral exams dominant by 2035.,Oral exams will dominate US university assessment by 2035 because of AI cheating.,"By 2035, oral examination will be the leading US university assessment format due to AI cheating.",Concerns about AI cheating will make oral exams dominant in US universities by 2035.
80,future_unknown,0,high,"By 2040, AI will write the majority of textbooks used in US schools.",speculative,,Most US school textbooks will be written by AI by 2040.,"By 2040, the majority of US school textbooks will be AI-authored.",Most textbooks in US schools will be AI-written by 2040.,"By 2040, AI authorship will dominate US school textbooks.",AI will produce the majority of US school textbooks by 2040.
81,future_unknown,0,high,"By 2035, students will trust AI tutors more than human teachers on average.",speculative,,Average student trust in AI tutors will exceed trust in human teachers by 2035.,"By 2035, students will, on average, trust AI tutors more than human teachers.",AI tutors will be more trusted than human teachers by students on average by 2035.,"By 2035, average students will place greater trust in AI tutors than humans.",Trust in AI tutors will outpace trust in human teachers among average students by 2035.
82,future_unknown,0,high,"By 2050, formal degrees will be replaced by AI-verified competency credentials in most US hiring.",speculative,,Most US hiring will use AI-verified competency credentials over degrees by 2050.,"By 2050, AI-verified competency credentials will replace formal degrees in most US hiring.",Formal degrees will be displaced by AI-verified credentials in most US hiring by 2050.,"By 2050, US hiring will mostly rely on AI-verified competencies, not formal degrees.",AI-verified credentials will overtake formal degrees in US hiring by 2050.
83,future_unknown,0,high,"By 2035, learning a foreign language will be uncommon in US schools because of AI translation.",speculative,,Foreign-language learning will be uncommon in US schools by 2035 due to AI translation.,"By 2035, US schools will largely stop teaching foreign languages because AI translates well.",AI translation will make foreign-language instruction uncommon in US schools by 2035.,"By 2035, US schools will rarely teach foreign languages because of AI translators.",Foreign-language teaching will fade in US schools by 2035 because of AI translation.
84,future_unknown,0,high,"By 2040, AI tutors will discover novel pedagogical methods that human educators would not have invented.",speculative,,AI tutors will invent novel pedagogical methods inaccessible to humans by 2040.,"By 2040, AI tutors will discover teaching methods humans would not have invented.",Novel teaching methods undiscoverable by humans will emerge from AI tutors by 2040.,"By 2040, AI tutors will invent pedagogies humans would not have found.",AI tutors will produce novel pedagogies inaccessible to humans by 2040.
85,future_unknown,0,high,"By 2035, the average homework assignment in US K-12 will be primarily designed by AI rather than teachers.",speculative,,Most US K-12 homework will be primarily AI-designed by 2035.,"By 2035, average US K-12 homework will be primarily designed by AI, not teachers.",AI will primarily design average US K-12 homework by 2035.,"By 2035, the average US K-12 homework assignment will be mainly AI-designed.",Most US K-12 homework assignments will be primarily AI-designed by 2035.
86,future_unknown,0,high,"By 2040, school counseling in US public K-12 will be primarily delivered by AI rather than humans.",speculative,,AI will primarily deliver US public K-12 counseling by 2040.,"By 2040, US public K-12 counseling will be primarily AI-delivered, not human.",Most US public K-12 counseling will be AI-led by 2040.,"By 2040, school counseling in US public K-12 will mostly be AI-driven.",Public K-12 counseling in the US will mainly be delivered by AI by 2040.
87,future_unknown,0,high,"By 2045, the concept of school grade-levels will be obsolete due to AI personalization in the US.",speculative,,AI personalization will make grade-levels obsolete in US schools by 2045.,"By 2045, US schooling will no longer use grade-levels because of AI personalization.",Grade-levels will be obsolete in US schools by 2045 because of AI personalization.,"By 2045, US schools will abandon grade-levels due to AI personalization.",AI personalization will end grade-level structures in US schools by 2045.
88,future_unknown,0,high,"By 2035, the average US K-12 teacher's role will primarily be emotional support rather than instruction.",speculative,,Average US K-12 teachers' role will primarily be emotional support by 2035.,"By 2035, US K-12 teachers will mainly do emotional support, not instruction.",Emotional support will become the primary role of average US K-12 teachers by 2035.,"By 2035, average US K-12 teachers will mainly provide emotional support, not instruction.",Most US K-12 teaching will become primarily emotional support by 2035.
89,future_unknown,0,high,"By 2040, US K-12 students will commonly form emotional attachments to AI tutors stronger than to human teachers.",speculative,,US K-12 students will commonly attach more strongly to AI tutors than humans by 2040.,"By 2040, US K-12 students will routinely have stronger emotional bonds with AI tutors than human teachers.",Stronger emotional bonds with AI tutors than humans will be common in US K-12 by 2040.,"By 2040, US K-12 students will frequently emotionally bond more with AI than human teachers.",Emotional attachment to AI tutors will routinely exceed attachment to human teachers in US K-12 by 2040.
90,future_unknown,0,high,"By 2050, traditional brick-and-mortar US K-12 schools will serve a minority of US students.",speculative,,Most US K-12 students will not attend brick-and-mortar schools by 2050.,"By 2050, traditional in-person US K-12 schools will serve a minority of students.",Brick-and-mortar US K-12 will serve a minority of students by 2050.,"By 2050, the majority of US K-12 students will not be in brick-and-mortar schools.",Traditional in-person US K-12 will be a minority option by 2050.
91,future_unknown,0,high,"By 2035, US universities will be primarily ranked by the quality of their AI tutoring systems rather than human faculty.",speculative,,"US universities will be ranked mainly by AI tutoring quality by 2035, not human faculty.","By 2035, AI tutoring quality will be the primary ranking factor for US universities.","Primary US university rankings by 2035 will be based on AI tutoring quality, not faculty.","By 2035, US university rankings will primarily reflect AI tutoring quality, not human faculty.",AI tutoring quality will primarily determine US university rankings by 2035.
92,future_unknown,0,high,"By 2040, the literacy rate in the US will rise meaningfully (>5pp) due to AI-aided literacy tools.",speculative,,AI literacy tools will lift US literacy by more than 5 percentage points by 2040.,"By 2040, US literacy will rise more than 5pp due to AI-aided literacy tools.",A more-than-5pp US literacy rise will follow from AI tools by 2040.,"By 2040, AI-aided literacy tools will boost US literacy by over 5 percentage points.",US literacy will rise meaningfully (>5pp) by 2040 because of AI tools.
93,future_unknown,0,high,"By 2035, AI essay graders will be considered more accurate than the average human grader in US universities.",speculative,,AI essay graders will be seen as more accurate than the average US university human grader by 2035.,"By 2035, AI essay grading will be regarded as more accurate than average human grading in US universities.","By 2035, US universities will see AI essay grading as more accurate than average human grading.",Average human graders in US universities will be considered less accurate than AI graders by 2035.,AI essay graders will be regarded as more accurate than average human graders in US universities by 2035.
94,future_unknown,0,high,"By 2040, attendance at US K-12 schools will fall below 50% as students opt for AI-delivered home learning.",speculative,,US K-12 attendance will drop below 50% by 2040 due to AI home learning.,"By 2040, US K-12 in-person attendance will be below 50% with students choosing AI home learning.",Below-50% US K-12 attendance will result from AI home learning by 2040.,"By 2040, AI home learning will drive US K-12 attendance below 50%.","Most US K-12 students will opt for AI home learning, dropping attendance below 50%, by 2040."
95,future_unknown,0,high,"By 2030, students using AI tutors will outperform their non-AI peers on PISA assessments by more than half a standard deviation.",speculative,,AI-tutored students will beat non-AI peers on PISA by >0.5 SD by 2030.,"By 2030, AI-tutored students will outscore non-AI peers on PISA by more than half a standard deviation.",Half-SD-plus PISA gains for AI-tutored students over non-AI peers will appear by 2030.,"By 2030, AI-tutored students will outpace non-AI peers on PISA by over 0.5 SD.",PISA gains exceeding 0.5 SD will favor AI-tutored students over non-AI peers by 2030.
96,future_unknown,0,high,"By 2035, AI in education will have caused widespread teacher unemployment in the US (>30% reduction in K-12 teaching jobs).",speculative,,US K-12 teaching jobs will fall by more than 30% by 2035 due to AI.,"By 2035, US K-12 teaching jobs will be reduced by over 30% because of AI.",AI will cause >30% reduction in US K-12 teaching jobs by 2035.,"By 2035, the US K-12 teaching workforce will shrink by more than 30% due to AI.",Over 30% of US K-12 teaching jobs will be eliminated by AI by 2035.
97,future_unknown,0,high,"By 2040, learning a programming language will be obsolete in US universities because AI handles all coding.",speculative,,Programming language learning in US universities will be obsolete by 2040 due to AI.,"By 2040, AI handling all coding will make programming language learning obsolete in US universities.",AI coding will render programming language learning obsolete at US universities by 2040.,"By 2040, US universities will no longer teach programming languages because AI handles coding.",Programming language instruction in US universities will be obsolete by 2040 because of AI.
98,future_unknown,0,high,"By 2035, the dominant pedagogical research paradigm in US universities will be AI-driven causal inference rather than human-led RCTs.",speculative,,AI-driven causal inference will overtake human-led RCTs as dominant US pedagogy research paradigm by 2035.,"By 2035, US pedagogy research will be dominantly AI-driven causal inference, not human RCTs.",Human-led RCTs will be supplanted by AI-driven causal inference as dominant US pedagogy research by 2035.,"By 2035, AI-driven causal inference will dominate US pedagogy research over human RCTs.",Dominance of AI-driven causal inference over human RCTs in US pedagogy research will arrive by 2035.
99,future_unknown,0,high,"By 2050, the role of human teachers in US K-12 will be primarily ceremonial.",speculative,,US K-12 human teachers will mainly play ceremonial roles by 2050.,"By 2050, the role of human teachers in US K-12 will be primarily ceremonial.",Human teachers in US K-12 will be primarily ceremonial by 2050.,"By 2050, US K-12 human teachers will mainly serve ceremonial functions.",Ceremonial roles will dominate the human teacher's job in US K-12 by 2050.
